год,тип,название,Unnamed: 3,isbn
2009,Роман-файл,«Флёр»,М.: ООО «ОксиПресс»,978-5-9901659-5-3
2018,Сборник произведений,«Длинные ноги Кафки»,Екб.: ООО «Издательские решения»,978-5-4490-6015-0
2018,Избранное,«Радикализация искусства»,Екб.: ООО «Издательские решения»,978-5-4490-5946-8
2018,Пьесы & рассказы,«Культурные традиции»,Екб.: ООО «Издательские решения»,978-5-4490-5950-5
2018,Сборник пьес,«Оттенки гиперреализма»,Екб.: ООО «Издательские решения»,978-5-4490-5957-4
2018,Новеллы & рассказы,«День Города»,Екб.: ООО «Издательские решения»,978-5-4490-5955-0
2018,Роман-файл,«Флёр»,Екб.: ООО «Издательские решения»,978-5-4490-5956-7
2018,Роман-перформанс,«₽усский Хэллоуин»,Екб.: ООО «Издательские решения»,978-5-4490-6005-1
2018,Пьеса,«Салон ритуальных услуг»,Екб.: ООО «Издательские решения»,978-5-4490-5958-1
2018,Пьеса,«Красная Мельница»,Екб.: ООО «Издательские решения»,978-5-4490-5959-8
2018,Пьеса,«Лайф-Лайф»,Екб.: ООО «Издательские решения»,978-5-4490-5960-4
2020,Сборник произведений,«Флёр. День Города»,"М.: ООО «Агентство ФТМ, Лтд.»",978-5-4467-3482-5
2020,Сборник пьес. Часть 1,«Оттенки гиперреализма»,"М.: ООО «Агентство ФТМ, Лтд.»",978-5-4467-3498-6978-5-4467-3487-0
2020,Сборник пьес. Часть 2,«Оттенки гиперреализма»,"М.: ООО «Агентство ФТМ, Лтд.»",978-5-4467-3499-3978-5-4467-3487-0
2020,Роман-перформанс,«₽усский Хэллоуин»,"М.: ООО «Агентство ФТМ, Лтд.»",978-5-4467-3459-7
2020,Пьеса,«Салон ритуальных услуг»,"М.: ООО «Агентство ФТМ, Лтд.»",978-5-4467-3456-6
2020,Пьеса,«Красная Мельница»,"М.: ООО «Агентство ФТМ, Лтд.»",978-5-4467-3458-0
2020,Пьеса,«Лайф-Лайф»,"М.: ООО «Агентство ФТМ, Лтд.»",978-5-4467-3455-9
2020,Пьеса,«Лайфхак»,"М.: ООО «Агентство ФТМ, Лтд.»",978-5-4467-3457-3
